Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Other ID,Integration,Owned By
3171409,"As a restaurant manager, I can manage seat record so that I can make sure that there is enough chairs and tables in the restaurant",seat,,,,epic,,,"Nov 26, 2016",,,,,https://www.pivotaltracker.com/epic/show/3171409,,,
3171407,"As a restaurant manager, I can manage the staff record so that I can have up-to-date staff details",staff,,,,epic,,,"Nov 26, 2016",,,,,https://www.pivotaltracker.com/epic/show/3171407,,,
3171387,"As a restaurant staff, I can manage customer's payment so that I can make sure that the customer's bill is paid",payment,,,,epic,,,"Nov 26, 2016",,,,,https://www.pivotaltracker.com/epic/show/3171387,,,
3171385,"As a restaurant staff, I can manage customer orders so that I can make sure that the customer orders are correct",order,,,,epic,,,"Nov 26, 2016",,,,,https://www.pivotaltracker.com/epic/show/3171385,,,
3171383,"As a  restaurant staff, I can manage membership registration so that I can help the restaurant customer to collect loyalty points",membership,,,,epic,,,"Nov 26, 2016",,,,,https://www.pivotaltracker.com/epic/show/3171383,,,
134989309,"As a restaurant staff, I can login to the website so that I can trust the website",membership,1,"Nov 14, 2016","Nov 27, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989309,,,
134989343,"As a restaurant staff, I can add new membership record so that I can fulfill customer's request to become a member",membership,1,"Nov 14, 2016","Nov 27, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989343,,,
134989491,"As a restaurant staff, I can add new customer order so that I can fulfill customer's order request",order,1,"Nov 14, 2016","Nov 27, 2016",feature,2,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989491,,,
134989535,"As a restaurant staff, I can remove customer's order record so that I can cancel the order when he or she decides not to dine in the restaurant",order,1,"Nov 14, 2016","Nov 27, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989535,,,
134989641,"As a restaurant staff, I can check out customer's bill so that I can receive payment from customer",payment,1,"Nov 14, 2016","Nov 27, 2016",feature,2,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989641,,,
134989683,"As a restaurant staff, I can generate receipt to customer so that I can prove that the bill has been paid",payment,1,"Nov 14, 2016","Nov 27, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989683,,,
134989499,"As a restaurant staff, I can update customer's order so that I can have the correct order details",order,1,"Nov 14, 2016","Nov 27, 2016",feature,2,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989499,,,
134989633,"As a restaurant staff, I can view customer's order so that I can check whether the food ordered is taken correctly",order,2,"Nov 28, 2016","Dec 11, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989633,,,
134989347,"As a restaurant staff, I can update membership record so that I can have the latest customer's details",membership,2,"Nov 28, 2016","Dec 11, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989347,,,
134989459,"As a restaurant staff, I can view the membership record so that I can know the member details such as their loyalty point balance",membership,2,"Nov 28, 2016","Dec 11, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989459,,,
134989655,"As a restaurant staff, I can view customer's payment record so that I can know customer's transaction",payment,2,"Nov 28, 2016","Dec 11, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989655,,,
134989449,"As a restaurant staff, I can remove membership record so that I deactivate the member when he or she no longer wants to become a member",membership,2,"Nov 28, 2016","Dec 11, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989449,,,
134989453,"As a restaurant staff, I can renew membership account so that I can extend the customer's membership period",membership,2,"Nov 28, 2016","Dec 11, 2016",feature,2,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989453,,,
134989815,"As a restaurant manager, I can add new staff record so that I can keep new staff details in the database",staff,2,"Nov 28, 2016","Dec 11, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989815,,,
134989825,"As a restaurant manager, I can update staff record so that I can have latest staff details",staff,2,"Nov 28, 2016","Dec 11, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989825,,,
134989833,"As a restaurant manager, I can remove staff record so that I can deactivate the staff when he or she no longer wants to work",staff,2,"Nov 28, 2016","Dec 11, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989833,,,
134989841,"As a restaurant manager, I can view staff record so that I know how to contact them through their personal details",staff,3,"Dec 12, 2016","Dec 25, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989841,,,
134989863,"As a restaurant manager, I can add new seat record so that I can make sure the database is updated with the latest number of tables",seat,3,"Dec 12, 2016","Dec 25, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989863,,,
134989877,"As a restaurant manager, I can update the seat record so that I can set number of chairs for a table",seat,3,"Dec 12, 2016","Dec 25, 2016",feature,2,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989877,,,
134989897,"As a restaurant manager, I can remove seat record so that I can make sure that the spoiled chairs and tables are not recorded in the database",seat,3,"Dec 12, 2016","Dec 25, 2016",feature,2,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989897,,,
134989909,"As a restaurant manager, I can view the seat record so that I can know the seat availability status",seat,3,"Dec 12, 2016","Dec 25, 2016",feature,1,unstarted,"Nov 26, 2016",,,AdelinaTang,,https://www.pivotaltracker.com/story/show/134989909,,,
